date,ticker,signal_return,rec_holding_days,buy,significance
2019-01-28,ANET,22.44000000,89,true,89.70490000
2019-01-28,PCOM,17.73000000,86,true,83.92800000
2019-01-28,SIGI,10.33000000,21,true,84.11430000
2019-01-28,IONS,-3.60000000,5,false,76.31110000
2019-01-28,LTC,4.92000000,27,false,74.22750000
2019-01-28,ECL,-8.99000000,22,false,77.18830000
2019-01-28,IMGN,-16.56000000,17,false,91.31990000
2019-01-28,SR,0.44000000,1,false,73.83050000
2019-01-28,ATHM,53.25000000,69,true,89.03620000
2019-01-28,AGFS,30.57000000,73,false,77.62900000
2019-01-28,AGFS,10.62000000,46,false,81.26060000
2019-01-28,IART,7.98000000,75,true,82.58670000
2019-01-28,MANT,1.05000000,51,true,81.19530000
2019-01-28,AVB,-3.53000000,27,false,70.78290000
2019-01-28,CPK,-1.07000000,14,false,80.46370000
2019-01-28,AMNB,0.25000000,1,true,71.66220000
2019-01-28,ASUR,16.82000000,22,true,99.13260000
2019-01-28,EXPD,8.04000000,72,true,80.62580000
2019-01-28,UPS,7.39000000,86,false,75.61960000
2019-01-28,INUV,-18.18000000,59,false,79.88670000
2019-01-28,USCR,-13.48000000,35,false,71.54730000
2019-01-28,EPC,26.96000000,87,false,84.86740000
2019-01-28,JBT,-33.16000000,85,false,78.63140000
2019-01-28,ESI,-5.88000000,6,false,71.21890000
2019-01-28,FIZZ,-1.07000000,3,false,70.99390000
2019-01-28,ASUR,16.82000000,22,true,84.34120000
2019-01-28,SCPH,-10.00000000,5,false,79.82100000
2019-01-28,BOOM,95.86000000,72,true,84.80570000
2019-01-28,PLNT,0.28000000,1,false,72.20000000
2019-01-28,SALM,1.77000000,1,false,78.08590000
2019-01-28,NWL,29.37000000,81,false,78.45000000
2019-01-28,PM,-15.92000000,54,false,86.33340000
2019-01-28,CRL,-22.00000000,18,false,83.69300000
2019-01-28,FLS,-15.20000000,88,false,76.67900000
2019-01-28,LTRX,17.98000000,9,false,74.90910000
2019-01-28,NDAQ,2.61000000,30,false,76.12890000
